week,p05,p10,p25,p50,p75,p90,p95
1,5.989397484402414,6.053875005541811,6.158162526318873,6.269226324278591,6.384406664938886,6.487316751959449,6.5573718387264215
2,5.88502681332254,5.969295896112036,6.115756271729922,6.282480483888018,6.441756187440327,6.588747169497641,6.69191697589697
3,5.819677039917265,5.9256997866559695,6.100422952412563,6.301049624813695,6.492672920810611,6.685601197028346,6.794746565774867
4,5.757198276366822,5.888499672575462,6.0878285636843605,6.3083347621623425,6.532327328637648,6.747756761991596,6.882907807833382
5,5.701075425385703,5.8493767371129115,6.075392648309302,6.322164916494814,6.568099715756627,6.803857041250169,6.953706807916676
6,5.649053597908139,5.794575725148326,6.0597379746979145,6.335417293575962,6.5986728233397525,6.854305329782752,7.0220682057468045
7,5.625551695599675,5.783919677501129,6.0473538110780485,6.335525535470207,6.63475312104195,6.889946475565374,7.077935723643335
8,5.5962379254036065,5.75896462457844,6.025994172488312,6.345980564019353,6.653487300102069,6.9444549097065424,7.1455883876259865
9,5.547043476970541,5.728323666081465,6.022625979643395,6.348759722307722,6.676975486700836,6.988180009436778,7.176308462420056
10,5.534819455824032,5.708939535529294,6.011694819736212,6.357961339754386,6.712182221310555,7.022458166486359,7.230962807256327
11,5.498866999326485,5.680011050316408,5.9956815086996595,6.36229883493805,6.722810925103564,7.069375546993053,7.281985064282743
12,5.4733939743545985,5.672595318338305,5.9909276845678905,6.362970756441719,6.757353393375631,7.114641960784464,7.321457396651026
13,5.437283890096959,5.650611835582971,5.992264154716996,6.3707468173137425,6.769856321698988,7.134836397991115,7.350104818197717
14,5.4334209341869615,5.6538391576513325,5.988594806875303,6.376178889465052,6.788322518199431,7.165044438613544,7.393122393173295
15,5.406480741250142,5.643525710520636,5.983472012539929,6.384013352271015,6.803254773494515,7.168443467553803,7.399391143999643
16,5.401631944726865,5.619282493784009,5.994963492516817,6.382840259552283,6.813701130150013,7.184768381504518,7.403362300895017
17,5.36218523228068,5.611762507000876,5.990131763907647,6.4016390003755665,6.81742611996872,7.206850793918104,7.459787495570729
18,5.3532686693631435,5.590612076357354,5.971780513520924,6.403352369166172,6.83344909825917,7.212906978627317,7.46326234605945
19,5.347131603016229,5.579023105842663,5.991312936840643,6.410326881455366,6.82772730384519,7.243395949744214,7.490561125335531
20,5.337058151779597,5.574029114568919,5.97559430555465,6.40337798589632,6.852059875053914,7.244653753928863,7.534122544933021
21,5.334258548894067,5.563181637964077,5.971737336468177,6.399990895934538,6.8415367327883665,7.289194552397667,7.5442189933784025
22,5.316211176988114,5.5478621016151815,5.960313705275954,6.406191901819825,6.863975474332127,7.28270383388876,7.589039020227082
23,5.283409457957605,5.533275839197536,5.966504307395587,6.40373598590349,6.873323409294109,7.295092000158736,7.583543797502663
24,5.275416460183773,5.5406129049633375,5.953759692422117,6.4122446441908085,6.874273793987706,7.323433534163123,7.613354167869163
25,5.287496773237132,5.534357939011074,5.931512258215919,6.411534129382934,6.876448730051832,7.332448845906961,7.602132120504953
26,5.261939649710228,5.51584206349617,5.929340124981588,6.417095500202537,6.892622062006949,7.345047820395509,7.618323333358383
27,5.270291228685321,5.5270604441339195,5.933035483556134,6.416006045855813,6.893570725768518,7.356900272898047,7.631449480524114
28,5.276580816467223,5.525161391652398,5.924576806837445,6.417539346965117,6.912005517374982,7.382964664259198,7.669718458355041
29,5.234047079524765,5.506287653914677,5.934999893346642,6.422584035307277,6.918111152945507,7.395496569352106,7.667718470741668
30,5.248982263035723,5.509879167331262,5.934972791806673,6.418642003002264,6.912707019243303,7.377676797330676,7.692930533566929
31,5.251586989020335,5.518341969036916,5.93770778196655,6.419703929118526,6.9170316507724845,7.37834597083288,7.667662181182999
32,5.259905631374359,5.5220430517272225,5.939177161125279,6.4302906132110955,6.923923375348338,7.4046687144490315,7.658729159772177
33,5.261410590963567,5.5131906488174245,5.925513546858661,6.426211478898657,6.933713787830319,7.405033959503159,7.712753992108717
34,5.240706913000329,5.5016557873207175,5.9151171211139975,6.4227151589304015,6.921000017780431,7.422280635344958,7.714158025802166
35,5.225750092335316,5.48601755779907,5.914827858561522,6.411964668821693,6.926190528184582,7.432762357577519,7.713719795784711
36,5.21464971480483,5.481952101590564,5.900769489644868,6.411586894577988,6.928788047126277,7.438120300015045,7.752159517302628
37,5.203150257117089,5.4634587597248,5.915748705934234,6.421307421511557,6.936338647369485,7.445912088360943,7.750716754125284
38,5.179695147221225,5.4550090367440305,5.911757550577216,6.420398229836274,6.945324576639164,7.459281203320356,7.757640371170819
39,5.169505256163418,5.447404446534359,5.90802452761824,6.420111535102732,6.9307832546661166,7.450556683219012,7.7331392533202825
40,5.17613893212638,5.446002892064201,5.908911025892175,6.425536045867501,6.945571477905551,7.449431862247619,7.772715188094152
41,5.14895254335184,5.454472025091331,5.911108649527463,6.425965462214327,6.93691432128136,7.46739434770018,7.804375075156819
42,5.159304542295155,5.444815792242862,5.900042271469622,6.426434893771485,6.966414702950932,7.465805683185363,7.822326051811581
43,5.135991421910211,5.438639114698786,5.90186945999465,6.433075439088565,6.970976654302231,7.479115827094949,7.841351379967084
44,5.1557156559764055,5.430995398297408,5.907181309102565,6.43799941611104,6.960832451464988,7.479572136719973,7.80605105823197
45,5.141418950160725,5.450085665273794,5.904008968675809,6.426895118815768,6.9797338093835295,7.481234003863317,7.808561286831758
46,5.1429603124344725,5.43862692524062,5.907142522132227,6.430504800360927,6.968563727036737,7.4767246254020465,7.7981872879332
47,5.142713671769911,5.429564222439073,5.910153467027195,6.423379050992239,6.987620470565394,7.49185670069822,7.799347077125542
48,5.1328337441920855,5.434347955790252,5.916520601907499,6.43345900587006,6.985417608264023,7.50328526068837,7.8017372961469444
49,5.138345188559995,5.415279437365454,5.92172159608807,6.428881694196596,6.986807947167796,7.49811113755753,7.779224276648047
50,5.152306846428543,5.430194784038588,5.9212076170360275,6.424698345485455,6.982767347574205,7.495519243334621,7.772602544696865
51,5.137594921183171,5.418864731796471,5.907713251025274,6.429081382214125,6.979447270003114,7.49558738959737,7.762399229689849
52,5.111001784079952,5.406807439464191,5.901918686342977,6.42786553824338,6.992992032541871,7.489454231615628,7.778912824183409
